semana_fin,pais,casos_semana,factor_crec_7d
2021-04-26,Argentina,162786.0,0.9709813839464125
2021-04-27,Argentina,158953.0,0.9369466548776894
2021-04-28,Argentina,156792.0,0.9204595487874323
2021-04-29,Argentina,153139.0,0.8976336875670416
2021-04-30,Argentina,148803.0,0.8732877918236558
2021-05-01,Argentina,144118.0,0.8609662407178402
2021-05-02,Argentina,141493.0,0.8536324915235831
2021-05-03,Argentina,142003.0,0.872329315788827
2021-05-04,Argentina,141079.0,0.8875516662157996
2021-05-05,Argentina,142648.0,0.9097913158834634
2021-05-06,Argentina,141540.0,0.9242583535219637
2021-05-07,Argentina,143222.0,0.9624940357385268
2021-05-08,Argentina,144923.0,1.0055857006064475
2021-05-09,Argentina,144708.0,1.0227219721116945
2021-05-10,Argentina,144711.0,1.0190700196474722
2021-05-11,Argentina,147783.0,1.0475194749041317
2021-05-12,Argentina,145434.0,1.0195305927878413
2021-05-13,Argentina,150720.0,1.0648579906740143
2021-05-14,Argentina,153956.0,1.0749465864182877
2021-05-15,Argentina,158522.0,1.0938360370679603
2021-05-16,Argentina,165989.0,1.1470616690162259
2021-05-17,Argentina,177934.0,1.2295817180449309
2021-05-18,Argentina,189559.0,1.282684747230737
2021-05-19,Argentina,203740.0,1.400910378590976
2021-05-20,Argentina,212729.0,1.411418524416136
2021-05-21,Argentina,223701.0,1.4530190444022968
2021-05-22,Argentina,234190.0,1.4773343763010813
2021-05-23,Argentina,234660.0,1.4137081372862057
2021-05-24,Argentina,223297.0,1.2549428439758563
2021-05-25,Argentina,207415.0,1.09419758492079
2021-05-26,Argentina,210810.0,1.0347010896240307
2021-05-27,Argentina,214509.0,1.0083674534266602
2021-05-28,Argentina,214169.0,0.9573895512313311
2021-05-29,Argentina,209247.0,0.8934924633844314
2021-05-30,Argentina,208332.0,0.8878036307849655
2021-05-31,Argentina,217757.0,0.975189993595973
2021-06-01,Argentina,228702.0,1.1026299930091845
2021-06-02,Argentina,220368.0,1.0453394051515583
2021-06-03,Argentina,211395.0,0.9854831265821015
2021-06-04,Argentina,203675.0,0.9510013120479621
2021-06-05,Argentina,199116.0,0.9515835352478171
2021-06-06,Argentina,195205.0,0.9369899967359792
2021-06-07,Argentina,188338.0,0.8648998654463461
2021-06-08,Argentina,184537.0,0.8068884399786622
2021-06-09,Argentina,180740.0,0.820173527916939
2021-06-10,Argentina,174614.0,0.8260081837318763
2021-06-11,Argentina,169351.0,0.8314766171596907
2021-06-12,Argentina,164310.0,0.8251973723859459
2021-06-13,Argentina,162769.0,0.833836223457391
2021-06-14,Argentina,161116.0,0.855461988552496
2021-06-15,Argentina,157469.0,0.8533193885237107
2021-06-16,Argentina,152125.0,0.8416786544207149
2021-06-17,Argentina,147341.0,0.8438097747030593
2021-06-18,Argentina,142468.0,0.8412586875778708
2021-06-19,Argentina,141443.0,0.8608301381534903
2021-06-20,Argentina,137636.0,0.8455909909135032
2021-06-21,Argentina,122453.0,0.7600300404677375
2021-06-22,Argentina,121703.0,0.7728695806793718
2021-06-23,Argentina,123937.0,0.8147050123253903
2021-06-24,Argentina,126472.0,0.8583625738932137
2021-06-25,Argentina,130115.0,0.9132928096133869
2021-06-26,Argentina,130973.0,0.92597724878573
2021-06-27,Argentina,133147.0,0.9673849864860937
2021-06-28,Argentina,143608.0,1.1727601610413791
2021-06-29,Argentina,139999.0,1.1503331881712036
2021-06-30,Argentina,136067.0,1.0978723060909978
2021-07-01,Argentina,133640.0,1.056676576633563
2021-07-02,Argentina,129997.0,0.9990931099412058
2021-07-03,Argentina,126730.0,0.9676040099867912
2021-07-04,Argentina,125444.0,0.9421466499432958
2021-07-05,Argentina,124672.0,0.8681410506378475
2021-07-06,Argentina,121741.0,0.8695847827484482
2021-07-07,Argentina,119726.0,0.8799047528056031
2021-07-08,Argentina,118074.0,0.8835228973361269
2021-07-09,Argentina,109591.0,0.8430271467803103
2021-07-10,Argentina,109800.0,0.8664089008127516
2021-07-11,Argentina,108881.0,0.8679649883613405
2021-07-12,Argentina,106304.0,0.8526694045174538
2021-07-13,Argentina,106721.0,0.8766233232846782
2021-07-14,Argentina,105758.0,0.8833336117468219
2021-07-15,Argentina,103382.0,0.8755695580737504
2021-07-16,Argentina,108343.0,0.9886122035568614
2021-07-17,Argentina,106696.0,0.9717304189435337
2021-07-18,Argentina,105110.0,0.9653658581387019
2021-07-19,Argentina,101164.0,0.9516481035520771
2021-07-20,Argentina,95687.0,0.8966089148340064
2021-07-21,Argentina,91859.0,0.8685773180279506
2021-07-22,Argentina,89679.0,0.8674527480605908
2021-07-23,Argentina,87657.0,0.8090693445815604
2021-07-24,Argentina,87571.0,0.8207524180850266
2021-07-25,Argentina,88348.0,0.840528969650842
2021-07-26,Argentina,90105.0,0.8906824562097189
2021-07-27,Argentina,91765.0,0.9590121960140876
2021-07-28,Argentina,91078.0,0.9914978390794588
2021-07-29,Argentina,90146.0,1.0052074621706308
2021-07-30,Argentina,89729.0,1.0236375874145818
2021-07-31,Argentina,88356.0,1.0089641548001052
2021-08-01,Argentina,87225.0,0.9872889029746005
2021-08-02,Argentina,84340.0,0.9360190888407969
2021-08-03,Argentina,82203.0,0.8957990519261156
2021-08-04,Argentina,82016.0,0.9005028656755748
2021-08-05,Argentina,81281.0,0.9016595300956226
2021-08-06,Argentina,81056.0,0.9033422862173879
2021-08-07,Argentina,80811.0,0.9146068178731496
