fecha,pais,incidencia_7d
2024-09-03,Argentina,0.10350629558323661
2024-09-04,Argentina,0.10350629558323661
2024-09-05,Argentina,0.10350629558323661
2024-09-06,Argentina,0.10350629558323661
2024-09-07,Argentina,0.10350629558323661
2024-09-08,Argentina,0.10350629558323661
2024-09-09,Argentina,0.10350629558323661
2024-09-10,Argentina,0.11860751803914955
2024-09-11,Argentina,0.11860751803914955
2024-09-12,Argentina,0.11860751803914955
2024-09-13,Argentina,0.11860751803914955
2024-09-14,Argentina,0.11860751803914955
2024-09-15,Argentina,0.11860751803914955
2024-09-16,Argentina,0.11860751803914955
2024-09-17,Argentina,0.15761900938359133
2024-09-18,Argentina,0.15761900938359133
2024-09-19,Argentina,0.15761900938359133
2024-09-20,Argentina,0.15761900938359133
2024-09-21,Argentina,0.15761900938359133
2024-09-22,Argentina,0.15761900938359133
2024-09-23,Argentina,0.15761900938359133
2024-09-24,Argentina,0.16925953502669086
2024-09-25,Argentina,0.16925953502669086
2024-09-26,Argentina,0.16925953502669086
2024-09-27,Argentina,0.16925953502669086
2024-09-28,Argentina,0.16925953502669086
2024-09-29,Argentina,0.16925953502669086
2024-09-30,Argentina,0.16925953502669086
2024-10-01,Argentina,0.20732719996763807
2024-10-02,Argentina,0.20732719996763807
2024-10-03,Argentina,0.20732719996763807
2024-10-04,Argentina,0.20732719996763807
2024-10-05,Argentina,0.20732719996763807
2024-10-06,Argentina,0.20732719996763807
2024-10-07,Argentina,0.20732719996763807
2024-10-08,Argentina,0.2387880800841234
2024-10-09,Argentina,0.2387880800841234
2024-10-10,Argentina,0.2387880800841234
2024-10-11,Argentina,0.2387880800841234
2024-10-12,Argentina,0.2387880800841234
2024-10-13,Argentina,0.2387880800841234
2024-10-14,Argentina,0.2387880800841234
2024-10-15,Argentina,0.2740242658145869
2024-10-16,Argentina,0.2740242658145869
2024-10-17,Argentina,0.2740242658145869
2024-10-18,Argentina,0.2740242658145869
2024-10-19,Argentina,0.2740242658145869
2024-10-20,Argentina,0.2740242658145869
2024-10-21,Argentina,0.2740242658145869
2024-10-22,Argentina,0.24256338569810162
2024-10-23,Argentina,0.24256338569810162
2024-10-24,Argentina,0.24256338569810162
2024-10-25,Argentina,0.24256338569810162
2024-10-26,Argentina,0.24256338569810162
2024-10-27,Argentina,0.24256338569810162
2024-10-28,Argentina,0.24256338569810162
2024-10-29,Argentina,0.30296827552175337
2024-10-30,Argentina,0.30296827552175337
2024-10-31,Argentina,0.30296827552175337
2024-11-01,Argentina,0.30296827552175337
2024-11-02,Argentina,0.30296827552175337
2024-11-03,Argentina,0.30296827552175337
2024-11-04,Argentina,0.30296827552175337
2024-11-05,Argentina,0.29761992590195085
2024-11-06,Argentina,0.29761992590195085
2024-11-07,Argentina,0.29761992590195085
2024-11-08,Argentina,0.29761992590195085
2024-11-09,Argentina,0.29761992590195085
2024-11-10,Argentina,0.29761992590195085
2024-11-11,Argentina,0.29761992590195085
2024-11-12,Argentina,0.17020336143018544
2024-11-13,Argentina,0.17020336143018544
2024-11-14,Argentina,0.17020336143018544
2024-11-15,Argentina,0.17020336143018544
2024-11-16,Argentina,0.17020336143018544
2024-11-17,Argentina,0.17020336143018544
2024-11-18,Argentina,0.17020336143018544
2024-11-19,Argentina,0.1195513444426441
2024-11-20,Argentina,0.1195513444426441
2024-11-21,Argentina,0.1195513444426441
2024-11-22,Argentina,0.1195513444426441
2024-11-23,Argentina,0.1195513444426441
2024-11-24,Argentina,0.1195513444426441
2024-11-25,Argentina,0.1195513444426441
2024-11-26,Argentina,0.0981579459634341
2024-11-27,Argentina,0.0981579459634341
2024-11-28,Argentina,0.0981579459634341
2024-11-29,Argentina,0.0981579459634341
2024-11-30,Argentina,0.0981579459634341
2024-12-01,Argentina,0.0981579459634341
2024-12-02,Argentina,0.0981579459634341
2024-12-03,Argentina,0.06984315385859736
2024-12-04,Argentina,0.06984315385859736
2024-12-05,Argentina,0.06984315385859736
2024-12-06,Argentina,0.06984315385859736
2024-12-07,Argentina,0.06984315385859736
2024-12-08,Argentina,0.06984315385859736
2024-12-09,Argentina,0.06984315385859736
2024-12-10,Argentina,0.056000366607343824
2024-12-11,Argentina,0.056000366607343824
2024-12-12,Argentina,0.056000366607343824
2024-12-13,Argentina,0.056000366607343824
2024-12-14,Argentina,0.056000366607343824
2024-12-15,Argentina,0.056000366607343824
2024-12-16,Argentina,0.056000366607343824
2024-12-17,Argentina,0.043416014560749706
2024-12-18,Argentina,0.043416014560749706
2024-12-19,Argentina,0.043416014560749706
2024-12-20,Argentina,0.043416014560749706
2024-12-21,Argentina,0.043416014560749706
2024-12-22,Argentina,0.043416014560749706
2024-12-23,Argentina,0.043416014560749706
2024-12-24,Argentina,0.02705635690017735
2024-12-25,Argentina,0.02705635690017735
2024-12-26,Argentina,0.02705635690017735
2024-12-27,Argentina,0.02705635690017735
2024-12-28,Argentina,0.02705635690017735
2024-12-29,Argentina,0.02705635690017735
2024-12-30,Argentina,0.02705635690017735
2024-12-31,Argentina,0.02705635690017735
2025-01-01,Argentina,0.02705635690017735
2025-01-02,Argentina,0.02705635690017735
2025-01-03,Argentina,0.02705635690017735
2025-01-04,Argentina,0.02705635690017735
2025-01-05,Argentina,0.02705635690017735
2025-01-06,Argentina,0.02705635690017735
2025-01-07,Argentina,0.03429235932696897
2025-01-08,Argentina,0.03429235932696897
2025-01-09,Argentina,0.03429235932696897
2025-01-10,Argentina,0.03429235932696897
2025-01-11,Argentina,0.03429235932696897
2025-01-12,Argentina,0.03429235932696897
2025-01-13,Argentina,0.03429235932696897
2025-01-14,Argentina,0.021078789678045145
2025-01-15,Argentina,0.021078789678045145
2025-01-16,Argentina,0.021078789678045145
2025-01-17,Argentina,0.021078789678045145
2025-01-18,Argentina,0.021078789678045145
2025-01-19,Argentina,0.021078789678045145
2025-01-20,Argentina,0.021078789678045145
2025-01-21,Argentina,0.024539486490858527
2025-01-22,Argentina,0.024539486490858527
2025-01-23,Argentina,0.024539486490858527
2025-01-24,Argentina,0.024539486490858527
2025-01-25,Argentina,0.024539486490858527
2025-01-26,Argentina,0.024539486490858527
2025-01-27,Argentina,0.024539486490858527
2025-01-28,Argentina,0.021078789678045145
2025-01-29,Argentina,0.021078789678045145
2025-01-30,Argentina,0.021078789678045145
2025-01-31,Argentina,0.021078789678045145
2025-02-01,Argentina,0.021078789678045145
2025-02-02,Argentina,0.021078789678045145
2025-02-03,Argentina,0.021078789678045145
2025-02-04,Argentina,0.025797921695517943
2025-02-05,Argentina,0.025797921695517943
2025-02-06,Argentina,0.025797921695517943
2025-02-07,Argentina,0.025797921695517943
2025-02-08,Argentina,0.025797921695517943
2025-02-09,Argentina,0.025797921695517943
2025-02-10,Argentina,0.025797921695517943
2025-02-11,Argentina,0.02957322730949618
2025-02-12,Argentina,0.02957322730949618
2025-02-13,Argentina,0.02957322730949618
2025-02-14,Argentina,0.02957322730949618
2025-02-15,Argentina,0.02957322730949618
2025-02-16,Argentina,0.02957322730949618
2025-02-17,Argentina,0.02957322730949618
2025-02-18,Argentina,0.03146088011648529
2025-02-19,Argentina,0.03146088011648529
2025-02-20,Argentina,0.03146088011648529
2025-02-21,Argentina,0.03146088011648529
2025-02-22,Argentina,0.03146088011648529
2025-02-23,Argentina,0.03146088011648529
2025-02-24,Argentina,0.03146088011648529
2025-02-25,Argentina,0.030831662514155585
2025-02-26,Argentina,0.030831662514155585
2025-02-27,Argentina,0.030831662514155585
2025-02-28,Argentina,0.030831662514155585
2025-03-01,Argentina,0.030831662514155585
2025-03-02,Argentina,0.030831662514155585
2025-03-03,Argentina,0.030831662514155585
2025-03-04,Argentina,0.033348532923474415
2025-03-05,Argentina,0.033348532923474415
2025-03-06,Argentina,0.033348532923474415
2025-03-07,Argentina,0.033348532923474415
2025-03-08,Argentina,0.033348532923474415
2025-03-09,Argentina,0.033348532923474415
2025-03-10,Argentina,0.033348532923474415
2025-03-11,Argentina,0.046876711373563085
2025-03-12,Argentina,0.046876711373563085
2025-03-13,Argentina,0.046876711373563085
2025-03-14,Argentina,0.046876711373563085
2025-03-15,Argentina,0.046876711373563085
2025-03-16,Argentina,0.046876711373563085
2025-03-17,Argentina,0.046876711373563085
2025-03-18,Argentina,0.05537114900501411
2025-03-19,Argentina,0.05537114900501411
2025-03-20,Argentina,0.05537114900501411
2025-03-21,Argentina,0.05537114900501411
2025-03-22,Argentina,0.05537114900501411
2025-03-23,Argentina,0.05537114900501411
2025-03-24,Argentina,0.05537114900501411
2025-03-25,Argentina,0.04089914415143088
2025-03-26,Argentina,0.04089914415143088
2025-03-27,Argentina,0.04089914415143088
2025-03-28,Argentina,0.04089914415143088
2025-03-29,Argentina,0.04089914415143088
2025-03-30,Argentina,0.04089914415143088
2025-03-31,Argentina,0.04089914415143088
2025-04-01,Argentina,0.04058453535026603
2025-04-02,Argentina,0.04058453535026603
2025-04-03,Argentina,0.04058453535026603
2025-04-04,Argentina,0.04058453535026603
2025-04-05,Argentina,0.04058453535026603
2025-04-06,Argentina,0.04058453535026603
2025-04-07,Argentina,0.04058453535026603
2025-04-08,Argentina,0.031146271315320443
2025-04-09,Argentina,0.031146271315320443
2025-04-10,Argentina,0.031146271315320443
2025-04-11,Argentina,0.031146271315320443
2025-04-12,Argentina,0.031146271315320443
2025-04-13,Argentina,0.031146271315320443
2025-04-14,Argentina,0.031146271315320443
2025-04-15,Argentina,0.021393398479210003
2025-04-16,Argentina,0.021393398479210003
2025-04-17,Argentina,0.021393398479210003
2025-04-18,Argentina,0.021393398479210003
2025-04-19,Argentina,0.021393398479210003
2025-04-20,Argentina,0.021393398479210003
2025-04-21,Argentina,0.021393398479210003
2025-04-22,Argentina,0.024854095292023377
2025-04-23,Argentina,0.024854095292023377
2025-04-24,Argentina,0.024854095292023377
2025-04-25,Argentina,0.024854095292023377
2025-04-26,Argentina,0.024854095292023377
2025-04-27,Argentina,0.024854095292023377
2025-04-28,Argentina,0.024854095292023377
2025-04-29,Argentina,0.021078789678045145
2025-04-30,Argentina,0.021078789678045145
2025-05-01,Argentina,0.021078789678045145
2025-05-02,Argentina,0.021078789678045145
2025-05-03,Argentina,0.021078789678045145
2025-05-04,Argentina,0.021078789678045145
2025-05-05,Argentina,0.021078789678045145
2025-05-06,Argentina,0.02705635690017735
2025-05-07,Argentina,0.02705635690017735
2025-05-08,Argentina,0.02705635690017735
2025-05-09,Argentina,0.02705635690017735
2025-05-10,Argentina,0.02705635690017735
2025-05-11,Argentina,0.02705635690017735
2025-05-12,Argentina,0.02705635690017735
2025-05-13,Argentina,0.020134963274550586
2025-05-14,Argentina,0.020134963274550586
2025-05-15,Argentina,0.020134963274550586
2025-05-16,Argentina,0.020134963274550586
2025-05-17,Argentina,0.020134963274550586
2025-05-18,Argentina,0.020134963274550586
2025-05-19,Argentina,0.020134963274550586
2025-05-20,Argentina,0.026427139297847645
2025-05-21,Argentina,0.026427139297847645
2025-05-22,Argentina,0.026427139297847645
2025-05-23,Argentina,0.026427139297847645
2025-05-24,Argentina,0.026427139297847645
2025-05-25,Argentina,0.026427139297847645
2025-05-26,Argentina,0.026427139297847645
2025-05-27,Argentina,0.03303392412230956
2025-05-28,Argentina,0.03303392412230956
2025-05-29,Argentina,0.03303392412230956
2025-05-30,Argentina,0.03303392412230956
2025-05-31,Argentina,0.03303392412230956
2025-06-01,Argentina,0.03303392412230956
2025-06-02,Argentina,0.03303392412230956
2025-06-03,Argentina,0.04184297055492544
2025-06-04,Argentina,0.04184297055492544
2025-06-05,Argentina,0.04184297055492544
2025-06-06,Argentina,0.04184297055492544
2025-06-07,Argentina,0.04184297055492544
2025-06-08,Argentina,0.04184297055492544
2025-06-09,Argentina,0.04184297055492544
2025-06-10,Argentina,0.04530366736773882
2025-06-11,Argentina,0.04530366736773882
2025-06-12,Argentina,0.04530366736773882
2025-06-13,Argentina,0.04530366736773882
2025-06-14,Argentina,0.04530366736773882
2025-06-15,Argentina,0.04530366736773882
2025-06-16,Argentina,0.04530366736773882
2025-06-17,Argentina,0.03964070894677147
2025-06-18,Argentina,0.03964070894677147
2025-06-19,Argentina,0.03964070894677147
2025-06-20,Argentina,0.03964070894677147
2025-06-21,Argentina,0.03964070894677147
2025-06-22,Argentina,0.03964070894677147
2025-06-23,Argentina,0.03964070894677147
2025-06-24,Argentina,0.04593288497006853
2025-06-25,Argentina,0.04593288497006853
2025-06-26,Argentina,0.04593288497006853
2025-06-27,Argentina,0.04593288497006853
2025-06-28,Argentina,0.04593288497006853
2025-06-29,Argentina,0.04593288497006853
2025-06-30,Argentina,0.04593288497006853
2025-07-01,Argentina,0.042786796958420005
2025-07-02,Argentina,0.042786796958420005
2025-07-03,Argentina,0.042786796958420005
2025-07-04,Argentina,0.042786796958420005
2025-07-05,Argentina,0.042786796958420005
2025-07-06,Argentina,0.042786796958420005
2025-07-07,Argentina,0.042786796958420005
2025-07-08,Argentina,0.0380676649409472
2025-07-09,Argentina,0.0380676649409472
2025-07-10,Argentina,0.0380676649409472
2025-07-11,Argentina,0.0380676649409472
2025-07-12,Argentina,0.0380676649409472
2025-07-13,Argentina,0.0380676649409472
2025-07-14,Argentina,0.0380676649409472
2025-07-15,Argentina,0.028944009707166474
2025-07-16,Argentina,0.028944009707166474
2025-07-17,Argentina,0.028944009707166474
2025-07-18,Argentina,0.028944009707166474
2025-07-19,Argentina,0.028944009707166474
2025-07-20,Argentina,0.028944009707166474
2025-07-21,Argentina,0.028944009707166474
2025-07-22,Argentina,0.035865403332793235
2025-07-23,Argentina,0.035865403332793235
2025-07-24,Argentina,0.035865403332793235
2025-07-25,Argentina,0.035865403332793235
